Dublin
Cork
Luimneach
Gaillimh
Tallaght
Waterford
Drogheda
Swords
Dundalk
Bray
Douglas
Dun Laoghaire
Navan
Ennis
Tralee
Droichead Nua
Sandyford
Balbriggan
Kilkenny
Athlone
Naas
Celbridge
Sligo
Carlow
Wexford
Finglas
Letterkenny
Ballincollig
Greystones
Cluain Meala
Rathfarnham
An Muileann gCearr
Malahide
Blanchardstown
Carrigaline
Leixlip
Donaghmede
Lucan
Kilquade
Castletroy
Knocklyon
Maynooth
Clondalkin
Cill Airne
Shankill
Wicklow
Portlaoise
Arklow
Castlebar
Foxrock
Cobh
Ashbourne
Midleton
Mallow
Dundrum
Tullamore
Crumlin
Palmerstown
Rathmines
Marino
Laytown
Jobstown
Donnybrook
Tra Mhor
Ballina
Skerries
Cabinteely
Gorey
Oldbawn
Shannon
Enniscorthy
Athy
Ballyboden
Portmarnock
An Ros
Trim
Balally
Ratoath
Sandymount
Glanmire
Blackrock
Tuam
Kildare
Beaumont
Ballyfermot
Ballinteer
Rathgar
Castleknock
Howth
Ringsend
Baldoyle
New Ross
Little Bray
Youghal
Thurles
Cherry Orchard
Mount Merrion
Portarlington
Longford
Lusk
Monaghan
Terenure
Donnycarney
Dungarvan
Donabate
Edenderry
Clane
Dunboyne
Raheny
Booterstown
Templeogue
Bandon
Sallynoggin
Greenhills
Firhouse
Walkinstown
Buncrana
Newtown Trim
Nenagh Bridge
Ballinasloe
Dalkey
Newcastle West
Fermoy
Cavan
Cherryville
Ballymun
Westport
Hartstown
Passage West
Kinsealy-Drinan
Carrick-on-Suir
Birr
Roscommon
Sutton
Darndale
Loughrea
Monkstown
Kilcock
Blessington
Nenagh
Roscrea
Confey
Eadestown
Artane
Chapelizod
Sallins
Kinsale
Killester
Carrigtwohill
Dollymount
Carrickmacross
Blackrock
Oranmore
Tipperary
Ardee
Ballybofey
Listowel
Kells
Tullow
Clonakilty
Bonnybrook
Bayside
Clonskeagh
Drumcondra
Moyross
Athenry
Cashel
Cabra
Monasterevin
Kilcoole
Duleek
Gweedore
Milltown
Dunshaughlin
Carrick-on-Shannon
Charleville
Mulhurddart
Fairview
Macroom
Mitchelstown
Kilcullen
Claremorris
Loughlinstown
Rialto
Glasnevin
Castleblayney
Cahir
Courtown
Mountmellick
Tower
Rathcoole
Dunlewy
Stamullin
Kill
Clara
Enfield
Saggart
Gort
Rathnew
Annacotty
Bagenalstown
Newtownmountkennedy
Ballinrobe
Skibbereen
Moate
Moate
Bantry
Kilrush
Bailieborough
Kinnegad
Ballyjamesduff
Newcastle
Virginia
Coolock
Sixmilebridge
Donegal
Crosshaven
Boyle
Blarney
Kingscourt
Castleisland
Callan
Carndonagh
Thomastown
Ballina
Athboy
Rathangan
Ballyhaunis
Kanturk
Ballyshannon
Prosperous
Killorglin
Kenmare
Clogherhead
Baltinglass
Old Kilcullen
Castleconnell
Edgeworthstown
Dingle
Abbeyfeale
Balrothery
Bearna
Castlerea
Tobercurry
Bunclody
Bundoran
Templemore
Enniskerry
Ballymahon
Cootehill
Castlebridge
Dunleer
Ballaghaderreen
Ballivor
Dunmore East
Newport
Cloyne
Charlesland
Newmarket on Fergus
Abbeyleix
Rathcormac
Banagher
Valleymount
Strandhill
Moycullen
Portlaw
Kilmallock
Clones
Mountrath
Leifear
Dunmanway
Collooney
Derrinturn
Clifden
Rathdrum
Longwood
Termonfeckin
Millstreet
Derrybeg
Rathkeale
Ballymote
Tullyallen
Rosslare
Fethard
Convoy
Castlecomer
Rochfortbridge
Killaloe
Moville
Caherconlish
Graiguenamanagh
Castledermot
Manorhamilton
Lanesborough
Portumna
Carlingford
Aughrim
Ashford
Ferns
Ardnacrusha
Swinford
Oldcastle
Moroe
Portraine
Killucan
Slane
Belturbet
Ballybunnion
Stradbally
Ballysadare
Watergrasshill
Ballygar
Ballisodare
Oughterard
Oughterard
Foxford
Kilbeggan
Kilpedder
Castlemartyr
Ramelton
Claregalway
Ballybay
Killybegs
Rathwire
Muff
Rathdowney
Moone
Castletown
Piltown
Kentstown
Athgarvan
Mooncoin
Ferbane
Dungloe
Castlepollard
Ballinroad
Croom
Raphoe
Inishcrone
Whitegate
Mullagh
Askeaton
Killumney
Adare
Castlebellingham
Ballygerry
Dromiskin
Ballyconnell
Ballylinan
Ballyragget
Kiltamagh
Newtown Cunningham
Kilworth
Carnew
Ennistimon
Crossmolina
Cahersiveen
Urlingford
Daingean
Charlestown
Kinlough
Aghada
Kilmacanoge
Belmullet
Toormakeady
Johnstown
